Date,Close/Last,Volume,Open,High,Low
04/03/2024,$11.38,4331531,$11.22,$11.50,$10.90
04/02/2024,$11.28,6327692,$11.84,$11.99,$11.26
04/01/2024,$11.99,9207097,$12.63,$12.67,$11.545
03/28/2024,$12.52,8473465,$13.19,$13.19,$12.47
03/27/2024,$13.17,17871310,$13.05,$13.72,$12.80
03/26/2024,$15.50,17245820,$15.15,$15.63,$14.75
03/25/2024,$15.12,10416330,$13.42,$15.1479,$13.3121
03/22/2024,$13.10,4411634,$13.76,$13.95,$13.01
03/21/2024,$13.66,3382799,$13.56,$14.02,$13.48
03/20/2024,$13.48,3921267,$13.47,$13.7897,$13.21
03/19/2024,$13.41,3894727,$13.76,$13.894,$13.30
03/18/2024,$13.91,3490830,$14.25,$14.30,$13.90
03/15/2024,$14.24,4480662,$14.55,$14.83,$14.21
03/14/2024,$14.63,2534219,$14.80,$15.02,$14.40
03/13/2024,$14.87,2898100,$14.69,$15.20,$14.62
03/12/2024,$14.72,2382616,$14.35,$14.835,$14.09
03/11/2024,$14.43,2111889,$14.64,$14.94,$14.36
03/08/2024,$14.65,3169763,$15.40,$15.63,$14.515
03/07/2024,$15.26,2111912,$15.26,$15.51,$15.05
03/06/2024,$15.26,3818096,$15.22,$15.885,$14.94
03/05/2024,$15.00,3152726,$14.95,$15.28,$14.78
03/04/2024,$15.22,4367601,$14.93,$15.5885,$14.83
03/01/2024,$14.95,4899457,$14.18,$15.09,$13.991
02/29/2024,$14.27,2638703,$14.34,$14.65,$14.03
02/28/2024,$14.24,2440715,$14.00,$14.47,$13.89
02/27/2024,$14.21,2795509,$13.70,$14.2901,$13.68
02/26/2024,$13.68,2278614,$13.31,$13.745,$13.20
02/23/2024,$13.51,2319731,$13.30,$13.79,$13.12
02/22/2024,$13.36,1817822,$13.50,$13.65,$13.335
02/21/2024,$13.41,1731270,$13.46,$13.67,$13.2301
02/20/2024,$13.49,3784513,$13.96,$14.0477,$13.16
02/16/2024,$14.12,2301927,$14.46,$14.5334,$14.10
